INSPEED	ENDANGLE	TOTALTICKS	DRIFTTICKS	OUTSPEED	OUTOFFSETX	OUTOFFSETY
250	2.3417174696882785	128	85	498.2574462890625	-330.1999816894531	353.519775390625
250	2.525028216834885	134	90	461.53857421875	-349.6099853515625	353.820068359375
250	2.7136120676954807	140	95	422.86114501953125	-367.97998046875	353.5400390625
250	2.90718125104509	146	100	383.18603515625	-385.8500061035156	352.920166015625
250	3.1055440783461155	152	105	343.4129638671875	-403.54998779296875	351.610107421875
250	3.307741987701279	158	110	304.6304931640625	-421.5999755859375	349.31005859375
250	3.511953103538376	164	115	268.2523498535156	-440.0799865722656	345.2900390625
250	3.717890071864945	170	120	234.76220703125	-458.7099914550781	338.580078125
250	3.926799046989304	176	125	206.39846801757812	-474.54998779296875	329.66015625
250	4.141748118396622	180	130	165.97740173339844	-482.0899963378906	326.91015625
250	3.871959257121903	182	135	198.78631591796875	-498.1499938964844	326.510009765625
250	3.9005296707113803	185	140	216.89187622070312	-505.3899841308594	317.820068359375
250	4.003498125072342	189	145	223.64942932128906	-508.4700012207031	307.380126953125
250	4.29639257788263	192	150	181.00384521484375	-503.739990234375	302.89013671875
250	4.6136389702519	194	155	128.4567108154297	-501.2099914550781	304.81982421875
250	4.891193616386277	193	160	50.57606506347656	-505.42999267578125	311.659912109375
250	5.032703357931	187	165	-59.64483642578125	-513.1199951171875	322.41015625
250	5.039414513107163	184	170	-107.69969177246094	-517.7999877929688	328.580078125
250	4.9530322134455265	181	175	-170.05136108398438	-519.9500122070312	333.6201171875
300	1.2496191700312753	83	50	633.5224609375	-158.01998901367188	316.070068359375
300	1.413467331728663	91	55	632.6996459960938	-192.6599884033203	336.56982421875
300	1.5688788135859628	97	60	615.40869140625	-218.0399932861328	348.920166015625
300	1.7370414614637912	104	65	598.6751708984375	-248.22999572753906	359.030029296875
300	1.9035742163618625	110	70	571.2356567382812	-272.3800048828125	365.64990234375
300	2.0830500006636203	117	75	545.857666015625	-299.7799987792969	369.139892578125
300	2.2604164957960666	123	80	510.5724182128906	-320.91998291015625	371.75
300	2.4427685618361057	129	85	472.4061279296875	-340.67999267578125	373.580078125
300	2.6306812643965305	135	90	432.0477294921875	-359.3800048828125	374.77001953125
300	2.8233874916990818	141	95	390.68035888671875	-377.53997802734375	375.60986328125
300	3.0207916378935398	147	100	349.1263732910156	-395.6999816894531	375.97998046875
300	3.2223183989485324	153	105	308.5419006347656	-414.3199768066406	375.349853515625
300	3.425954329963547	159	110	270.1454162597656	-433.6499938964844	373.10986328125
300	3.6306449055632175	165	115	234.9950408935547	-453.53997802734375	368.18994140625
300	3.8482784509619297	172	120	214.02008056640625	-471.1399841308594	358.510009765625
300	4.061022388931137	176	125	172.49728393554688	-479.6600036621094	356.449951171875
300	3.7824131131132663	178	130	208.87368774414062	-496.1999816894531	356.93994140625
300	3.8094495415648044	181	135	226.89476013183594	-504.4599914550781	348.58984375
300	3.90954177379213	184	140	222.8834228515625	-509.0099792480469	340.35986328125
300	4.221227514739853	188	145	186.95150756835938	-503.5299987792969	333.239990234375
300	4.524092841144425	190	150	136.50399780273438	-500.47998046875	335.139892578125
300	4.816699671741349	189	155	56.18533706665039	-504.2799987792969	342.9599609375
